ID,TITLE,ARTIST,TOPGENRE,BPM,NRGY,DNCE,DB,LIVE,VAL,DUR,ACOUS,SPCH,POP
75,2018,Puppet,complextro,170,67,23,-6,16,35,200,0,5,39
76,Survive [Arknights Soundtrack],QUIX,bass trap,145,85,65,-5,9,36,167,0,6,39
77,Soldiers,Nitro Fun,complextro,128,95,59,-5,88,45,236,0,6,39
78,Save Us From Ourselves (feat. Micah Martin) [Arknights Soundtrack],Bear Grillz,brostep,150,95,50,-2,9,48,186,0,5,38
79,Neon Rainbow,Rameses B,chillstep,174,93,51,-2,8,66,252,7,9,38
80,Scribble - Extended Mix,Puppet,complextro,128,72,34,-4,53,38,265,66,12,38
81,To Be Alive,Puppet,complextro,103,87,50,-3,25,42,273,1,4,38
82,Dynamo,Puppet,complextro,100,97,41,-5,30,25,240,3,14,38
83,Parachute,Krewella,dance pop,170,57,63,-6,40,35,223,23,5,37
84,Drift Away,Rameses B,chillstep,175,78,65,-7,9,30,308,8,16,37
85,I'm Here,Puppet,complextro,95,78,43,-5,13,23,204,8,5,37
86,Legends - Hyper Potions Remix,Razihel,bass trap,160,66,53,-6,14,52,197,3,4,36
87,Fuji Rock,Puppet,complextro,150,88,34,-5,12,31,262,4,6,35
88,Matches,Ephixa,canadian electronic,108,76,62,-6,18,22,233,2,5,35
89,What's Broken,Puppet,complextro,127,76,38,-5,9,13,194,0,7,34
90,Living in It,Puppet,complextro,120,89,32,-6,67,36,264,0,9,34
91,So Far Away,Nitro Fun,complextro,125,93,57,-4,10,13,219,0,5,34
92,The Worst Part About Me,Puppet,complextro,91,85,29,-6,9,12,219,0,11,32
93,gemstone,4s4ki,hyperpop,106,83,39,-7,9,20,174,1,6,32
94,Soft Spoken,Puppet,complextro,128,52,44,-8,13,9,303,9,4,32
95,Here Again,Puppet,complextro,155,71,32,-5,30,34,182,0,8,32
96,Enough Is Enough,Puppet,complextro,105,84,41,-3,22,34,200,0,6,31
97,Answers,Puppet,complextro,128,77,54,-5,73,11,344,1,6,30
98,Bigger Picture,Puppet,complextro,97,80,19,-5,56,33,194,2,12,30
99,Cargo,Puppet,complextro,108,84,36,-6,37,30,258,2,7,29
100,Vagabond,Puppet,complextro,94,92,37,-4,78,37,288,17,8,29
101,Play Pretend,Puppet,complextro,91,36,24,-11,9,4,170,1,3,28
102,Chin Up,Puppet,complextro,196,83,29,-5,34,31,201,0,8,28
103,Good Day,Puppet,complextro,129,82,23,-5,9,16,281,0,11,27
104,In Stride,Puppet,complextro,95,91,32,-5,32,16,203,1,11,27
105,Heavy,Puppet,complextro,170,91,37,-6,38,39,193,1,21,27
106,Orange Against The Blue,Puppet,complextro,95,83,17,-5,32,17,174,6,14,27
107,Downhearted - Ryos Remix,Pegboard Nerds,brostep,128,89,63,-4,30,22,287,0,5,26
108,For 4s4ki,Puppet,complextro,140,95,29,-4,34,45,140,0,15,26
109,Only Brother,Puppet,complextro,140,95,17,-4,21,18,213,0,19,25
110,Without Me,Puppet,complextro,128,62,36,-10,9,3,216,48,4,25
111,"Photos, Videos, Memories",Puppet,complextro,120,69,26,-5,37,31,258,0,5,25
112,My Own Thing,Puppet,complextro,79,68,8,-5,7,21,240,0,6,24
113,The Bay,Puppet,complextro,140,97,47,-6,52,20,76,0,8,24
114,Yokohama,Puppet,complextro,113,80,25,-5,34,25,125,0,6,24
115,Blood,Puppet,complextro,110,94,38,-6,41,20,144,1,13,23
116,Somedays,Puppet,complextro,160,85,27,-4,14,50,101,0,11,22
117,Lightning (feat. John Rzeznik),Cash Cash,dance pop,129,79,51,-3,17,16,214,3,5,21
118,First Time Fighting,Puppet,complextro,92,40,12,-11,29,4,236,7,4,20
119,Vagrant,Puppet,complextro,88,15,23,-12,33,4,251,97,3,19
120,Fade,Alan Walker,electro house,180,65,79,-4,8,49,264,1,4,17
121,Confessions,Azuria Sky,complextro,140,21,45,-12,9,15,187,87,3,13
122,LIGHTS GO OUT,アーティガン,seinen,170,91,54,-5,8,17,189,9,4,40
123,Lost My Way,キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann),seinen,98,13,40,-13,8,28,320,95,3,40
124,Love Yourself,ピョートル(Vo. J R Price),seinen,115,55,68,-7,25,34,200,31,4,40
125,The Tower,アンジェラ (Vo. Alisa),seinen,84,30,49,-9,28,17,237,84,3,39
126,Polly Jean,キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann),seinen,123,80,57,-5,8,69,191,59,3,38
127,STAR PLAYER,4s4ki,hyperpop,144,83,49,-5,15,50,141,9,4,22
128,I LOVE ME,4s4ki,hyperpop,150,81,55,-2,33,58,131,4,6,31
129,FAIRYTALE feat. Zheani,4s4ki,hyperpop,170,78,61,-4,24,50,184,50,6,35
130,I picked up a prostitute's iPhone,4s4ki,hyperpop,146,90,67,-3,23,86,204,25,5,41
131,Caesura of Despair - attacca ver.,IRyS,hololive,175,74,48,-7,12,34,284,5,3,41
132,HERE COMES HOPE,IRyS,hololive,95,93,60,-5,18,38,182,0,5,52
133,Prover,milet,j-pop,117,51,57,-6,10,16,241,3,4,52
134,Butterfly,MIYAVI,visual kei,120,68,72,-5,10,36,200,0,6,48
135,Wild Side,ALI,japanese soul,134,92,62,-5,34,71,159,1,11,66
136,Genesis,STEREO DIVE FOUNDATION,anime,174,96,27,-1,5,32,223,0,9,30
137,Naked Dive,SCREEN mode,anime rock,158,99,49,-3,6,23,286,0,21,41
138,STAY (with Justin Bieber),The Kid LAROI,australian hip hop,170,76,59,-5,10,48,142,4,5,95
139,THATS WHAT I WANT,Lil Nas X,lgbtq+ hip hop,88,85,74,-5,5,55,144,1,22,95
140,Bad Habits,Ed Sheeran,pop,126,89,81,-4,37,54,231,5,3,95
141,Blinding Lights,The Weeknd,canadian contemporary r&b,171,73,51,-6,9,33,200,0,6,94
142,The Nights,Avicii,dance pop,126,84,53,-5,25,65,177,2,4,88
143,Wake Me Up,Avicii,dance pop,124,78,53,-6,16,64,247,0,5,88
144,Leave Before You Love Me (with Jonas Brothers),Marshmello,brostep,120,74,72,-5,12,64,155,0,4,87
145,bad guy,Billie Eilish,art pop,135,43,70,-11,10,56,194,33,38,87
146,High,The Chainsmokers,dance pop,135,79,60,-6,14,53,175,5,3,85
147,Come & Go (with Marshmello),Juice WRLD,chicago rap,145,81,63,-5,16,54,205,2,7,85
148,I Like Me Better,Lauv,dance pop,92,51,75,-8,10,42,197,54,25,85
149,MONTERO (Call Me By Your Name),Lil Nas X,lgbtq+ hip hop,179,51,61,-7,38,76,138,30,15,84
150,Señorita,Shawn Mendes,canadian pop,117,54,76,-6,9,75,191,4,3,84
151,Waiting For Love,Avicii,dance pop,128,74,58,-4,20,61,231,31,5,83
152,Take My Breath,The Weeknd,canadian contemporary r&b,121,74,75,-6,10,52,220,1,5,82
153,Good Time,Owl City,indietronica,126,87,56,-4,37,68,206,2,14,81
154,Hey Brother,Avicii,dance pop,125,78,55,-5,8,46,255,3,4,81
155,Without You (feat. Sandro Cavazza),Avicii,dance pop,134,86,66,-5,5,30,182,0,4,81
156,iPad,The Chainsmokers,dance pop,122,63,67,-6,9,55,202,1,3,80
157,We Found Love,Rihanna,barbadian pop,128,77,73,-4,11,60,215,3,4,80
158,Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,129,84,61,-3,12,44,213,11,5,80
159,i'm so tired...,Lauv,dance pop,102,74,58,-8,24,48,163,18,22,80
160,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,chicago rap,90,65,70,-6,11,65,160,29,10,79
161,Takeaway,The Chainsmokers,dance pop,100,51,53,-8,10,35,210,13,3,79
162,Stay,Zedd,complextro,102,62,69,-5,12,54,210,25,6,79
163,Who (feat. BTS),Lauv,dance pop,142,34,63,-8,10,10,180,55,3,79
164,Hate Me (with Juice WRLD),Ellie Goulding,dance pop,75,77,66,-5,14,76,186,11,5,78
165,Runaway (U & I),Galantis,dance pop,126,81,51,-4,9,38,227,1,5,78
166,Break Free,Ariana Grande,dance pop,130,70,69,-5,20,28,215,1,5,78
167,Clarity,Zedd,complextro,128,78,51,-3,7,18,271,4,7,78
168,Life's A Mess (feat. Halsey),Juice WRLD,chicago rap,143,45,63,-9,17,18,202,34,4,76
169,POP/STARS,K/DA,k-pop girl group,170,77,57,-4,11,39,191,2,9,76
170,Panini,Lil Nas X,lgbtq+ hip hop,154,59,70,-6,12,48,115,34,8,75
171,VILLAIN,K/DA,k-pop girl group,160,63,65,-6,9,31,199,2,4,75
172,Heroes (we could be),Alesso,dance pop,126,75,50,-4,34,36,210,3,6,75
173,SOS (feat. Aloe Blacc),Avicii,dance pop,100,65,80,-6,12,38,157,27,7,75
174,"fuck, i'm lonely (with Anne-Marie)",Lauv,dance pop,95,55,81,-7,5,72,199,46,6,75
175,Without You (feat. Usher),David Guetta,big room,128,61,61,-4,16,40,208,23,3,74
176,Midsummer Madness,88rising,asian american hip hop,90,68,41,-8,17,17,281,36,9,73
177,King,Years & Years,dance pop,120,86,56,-4,38,43,215,6,4,73
178,THE BADDEST,K/DA,k-pop girl group,150,86,68,-4,25,72,163,2,4,73
179,Beautiful Now,Zedd,complextro,128,83,63,-4,7,56,218,1,3,73
180,All We Know,The Chainsmokers,dance pop,90,59,66,-9,12,30,194,10,3,73
181,Burn It All Down,League of Legends,speedrun,145,69,55,-7,12,23,202,0,6,72
182,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,128,79,51,-4,32,64,208,33,4,71
183,Feel Good (feat. Daya),Gryffin,dance pop,138,71,63,-5,21,48,248,22,3,71
184,sex,EDEN,indie poptimism,103,52,41,-4,32,53,219,16,5,71
185,XO,EDEN,indie poptimism,164,39,61,-6,12,62,160,63,12,71
186,Without Me (with Juice WRLD),Halsey,dance pop,136,51,74,-6,18,45,229,36,7,71
187,GIANTS,True Damage,k-rap,155,68,64,-5,16,58,192,8,26,70
188,Heaven,Avicii,dance pop,122,87,59,-6,14,52,277,7,3,70
189,Tattoos Together,Lauv,dance pop,123,40,86,-7,12,60,187,1,7,70
190,I Want You To Know,Zedd,complextro,130,85,58,-3,14,37,240,1,6,69
191,Save The World,Swedish House Mafia,dance pop,127,67,51,-8,8,40,213,1,5,69
192,Take Over,League of Legends,speedrun,108,73,45,-4,12,39,214,18,17,68
193,All Falls Down (feat. Juliander),Alan Walker,electro house,98,68,66,-4,36,66,199,30,6,68
194,Walk Me Home,Said The Sky,edm,160,49,40,-7,14,21,216,8,4,67
195,Silhouettes - Original Radio Edit,Avicii,dance pop,128,80,61,-6,12,84,212,16,5,67
196,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,128,74,60,-3,9,46,217,11,4,67
197,Tired,Alan Walker,electro house,124,88,69,-4,15,49,192,4,6,67
198,crash,EDEN,indie poptimism,118,21,50,-13,12,19,232,87,7,67
199,First Time,ILLENIUM,edm,155,67,53,-5,32,43,166,5,4,66
200,Good Things Fall Apart (with Jon Bellion),ILLENIUM,edm,144,60,64,-5,12,42,217,1,3,66
201,Darkside,Alan Walker,electro house,170,64,43,-5,12,11,212,16,5,66
202,drugs,EDEN,indie poptimism,144,44,48,-7,24,23,338,60,6,66
203,Vanilla Twilight,Owl City,indietronica,166,53,58,-8,11,57,232,1,2,65
204,Spectrum,Zedd,complextro,130,80,61,-4,13,41,243,1,3,63
205,Wake Up,EDEN,indie poptimism,117,37,39,-7,85,39,280,88,3,63
206,Blame Myself,ILLENIUM,edm,140,74,39,-4,24,40,231,5,9,62
207,Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM,edm,144,56,56,-5,11,27,366,11,3,62
208,Take Me Home (feat. Bebe Rexha),Cash Cash,dance pop,128,90,57,-2,19,48,206,6,21,62
209,rock + roll,EDEN,indie poptimism,69,52,47,-7,17,43,296,88,6,62
210,Lonely Eyes,Lauv,dance pop,95,50,59,-7,10,37,196,4,3,62
211,Rush Over Me,Seven Lions,dubstep,135,75,44,-4,3,25,260,7,4,61
212,Big Time Rush,Big Time Rush,boy band,121,89,60,-3,28,83,198,3,5,60
213,What About Us - Cash Cash Remix,P!nk,dance pop,123,80,60,-3,10,22,234,5,5,60
214,Invisible Things,Lauv,dance pop,125,55,73,-7,14,29,197,8,10,60
215,Ignite - 2016 League Of Legends World Championship,Zedd,complextro,128,74,72,-4,8,39,195,7,3,59
216,Circles,EDEN,indie poptimism,59,52,26,-7,9,12,275,61,4,59
217,Fumes,EDEN,indie poptimism,76,84,39,-3,94,35,215,16,23,59
218,Fractures (feat. Nevve),ILLENIUM,edm,160,71,41,-3,14,27,245,37,4,58
219,Nightlight,ILLENIUM,edm,150,65,49,-4,10,16,222,8,4,57
220,Hearts on Fire,ILLENIUM,edm,180,77,37,-4,10,24,236,1,4,57
221,Finest Hour (feat. Abir),Cash Cash,dance pop,96,73,66,-4,13,44,216,8,8,57
222,End Credits,EDEN,indie poptimism,171,51,43,-5,9,31,240,59,14,57
223,Gravity,EDEN,indie poptimism,125,44,51,-8,11,25,231,71,4,57
224,Lay It Down,ILLENIUM,edm,78,54,41,-5,8,12,265,32,3,56
225,U & Me,ILLENIUM,edm,88,84,56,-5,4,63,214,1,5,56
226,Where'd U Go,ILLENIUM,edm,186,64,46,-4,9,28,185,3,7,56
227,Sad Songs (& Said The Sky with Annika Wells),ILLENIUM,edm,145,57,53,-6,11,48,210,68,4,56
228,El Tejano (feat. Sofía Reyes),Lauv,dance pop,134,56,88,-7,38,95,191,13,5,56
229,In My Mind,ILLENIUM,edm,140,66,34,-4,10,23,300,12,6,55
230,Sideways,ILLENIUM,edm,142,79,47,-3,28,31,252,7,5,55
231,Fragments,ILLENIUM,edm,176,78,41,-5,18,34,210,10,6,55
232,Free Fall,ILLENIUM,edm,134,53,43,-4,12,23,206,46,4,55
233,All My Love (feat. Conor Maynard),Cash Cash,dance pop,135,87,59,-3,7,30,191,15,9,55
234,love; not wrong (brave),EDEN,indie poptimism,73,42,32,-8,31,30,217,73,11,55
235,God Damnit (with Call Me Karizma),ILLENIUM,edm,96,62,68,-5,25,37,216,29,10,55
236,Hearts on Fire,ILLENIUM,edm,180,77,37,-4,10,24,236,1,4,54
237,Fortress,ILLENIUM,edm,142,85,56,-5,69,47,204,19,6,54
238,Paper Thin,ILLENIUM,edm,156,78,56,-4,14,78,197,0,9,53
239,Heavenly Side,ILLENIUM,edm,134,75,44,-6,9,19,240,1,5,53
240,Sleepwalker,ILLENIUM,edm,160,84,31,-4,8,18,251,5,6,53
241,forever//over,EDEN,indie poptimism,80,33,28,-11,77,19,343,94,5,53
242,Crazy Times,ILLENIUM,edm,150,51,48,-8,11,17,230,41,5,52
243,Losing Patience,ILLENIUM,edm,160,88,52,-3,26,29,231,6,12,52
244,take care,EDEN,indie poptimism,85,49,27,-8,48,29,196,57,13,52
245,start//end,EDEN,indie poptimism,150,39,35,-7,10,7,334,56,4,52
246,gold,EDEN,indie poptimism,97,45,70,-10,38,58,197,61,17,52
247,909,EDEN,indie poptimism,92,51,46,-8,17,23,258,35,3,52
248,Tell My Mama,Lauv,dance pop,140,50,88,-7,11,49,167,19,5,52
249,Overtime,Cash Cash,dance pop,114,88,55,-1,66,29,246,7,30,51
250,and,EDEN,indie poptimism,111,27,33,-13,53,8,133,96,3,51
251,Brave Soul,ILLENIUM,edm,90,31,52,-9,10,26,277,38,4,50
252,Only One,ILLENIUM,edm,180,75,37,-4,10,29,252,14,19,50
253,Take You Down,ILLENIUM,edm,170,69,28,-3,37,16,221,51,5,50
254,Nocturne,EDEN,indie poptimism,124,59,52,-6,84,38,198,45,7,50
255,isohel,EDEN,indie poptimism,121,52,41,-10,82,21,271,79,8,49
256,Surrender,Cash Cash,dance pop,128,89,54,-3,13,30,208,2,7,48
257,catch me if you can - Bonus Track,EDEN,indie poptimism,78,12,30,-27,88,40,189,90,10,48
258,wings,EDEN,indie poptimism,82,46,35,-8,29,7,177,75,6,48
259,icarus,EDEN,indie poptimism,134,54,41,-6,9,24,405,69,11,48
260,float,EDEN,indie poptimism,134,53,52,-9,12,33,199,40,50,48
261,Interlude,EDEN,indie poptimism,119,45,41,-8,11,7,164,64,6,47
262,falling in reverse,EDEN,indie poptimism,138,39,24,-13,59,10,299,87,5,47
263,how to sleep,EDEN,indie poptimism,116,43,48,-11,70,29,158,75,9,47
264,Peaked,EDEN,indie poptimism,99,60,58,-9,25,40,174,32,10,47
265,wrong,EDEN,indie poptimism,139,12,58,-15,31,57,64,89,14,46
266,wonder,EDEN,indie poptimism,134,18,40,-11,17,10,264,94,4,46
267,hertz,EDEN,indie poptimism,127,61,62,-8,17,34,199,46,22,46
268,2020,EDEN,indie poptimism,171,66,35,-8,46,21,211,55,34,45
269,Alligator Sky,Owl City,indietronica,92,93,54,-4,7,41,185,1,9,44
270,good morning,EDEN,indie poptimism,37,33,14,-12,16,12,209,69,4,44
271,just saying,EDEN,indie poptimism,168,52,29,-9,15,38,246,76,9,44
272,Firebird,Owl City,indietronica,140,79,64,-5,21,88,240,19,3,43
273,fomo,EDEN,indie poptimism,81,31,33,-10,12,20,190,91,3,43
274,????,EDEN,indie poptimism,176,48,42,-10,12,56,180,84,13,43
275,Ain't That Why,R3HAB,dance pop,140,61,60,-5,17,33,159,39,5,42
276,2:09,EDEN,indie poptimism,160,25,35,-12,7,3,251,98,4,42
277,untitled,EDEN,indie poptimism,84,29,49,-12,15,33,216,97,4,42
278,calm down,EDEN,indie poptimism,60,17,21,-12,11,15,155,81,3,42
279,so far so good,EDEN,indie poptimism,182,45,22,-10,90,23,206,67,4,42
280,rushing,EDEN,indie poptimism,124,56,29,-9,7,23,308,44,6,42
281,Speed Of Love,Owl City,indietronica,128,87,68,-6,6,91,208,1,21,41
282,projector,EDEN,indie poptimism,108,66,63,-9,10,28,222,54,9,41
283,isohel,EDEN,indie poptimism,89,51,34,-10,82,20,271,79,11,41
284,"love, death, distraction",EDEN,indie poptimism,82,37,26,-10,30,22,257,92,3,40
285,tides,EDEN,indie poptimism,160,55,73,-10,50,38,103,16,8,40
286,$treams,EDEN,indie poptimism,124,62,62,-10,19,69,201,58,4,39
287,Paper Thin,ILLENIUM,edm,156,78,56,-4,14,78,197,0,9,35
288,Nightlight,ILLENIUM,edm,150,65,49,-4,10,16,222,8,4,34
289,i finally understand,Charli XCX,art pop,160,67,81,-5,8,76,152,17,15,31
290,Lightning (feat. John Rzeznik),Cash Cash,dance pop,129,79,51,-3,17,16,214,3,5,21
291,Rainbow Road,nanobii,future bass,170,78,38,-5,20,25,174,0,9,46
292,Go The Distance,nanobii,future bass,173,87,46,-4,8,33,232,8,5,41
293,Let The Games Begin,League of Legends,speedrun,140,84,44,-2,6,14,228,0,4,38
294,Legends - Hyper Potions Remix,Razihel,bass trap,160,66,53,-6,14,52,197,3,4,36
295,POP/STARS,K/DA,k-pop girl group,170,77,57,-4,11,39,191,2,9,76
296,El Dorado,Stellar,social media pop,120,71,74,-6,26,61,136,13,3,67
297,Darkside,Alan Walker,electro house,170,64,43,-5,12,11,212,16,5,66
298,First Time (feat. Dylan Matthew),Seven Lions,dubstep,150,68,42,-6,16,15,298,25,4,61
299,Mii Channel,VGR,otacore,128,39,71,-8,28,53,126,0,5,56
300,God Damnit (with Call Me Karizma),ILLENIUM,edm,96,62,68,-5,25,37,216,29,10,55
301,Time Bomb,Feint,chillstep,175,81,34,-5,18,23,212,0,3,54
302,Happy Where We Are,Tritonal,edm,71,69,24,-6,6,15,320,8,5,49
303,Without You (feat. Usher),David Guetta,big room,128,61,61,-4,16,40,208,23,3,74
304,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,128,79,51,-4,32,64,208,33,4,71
305,Let Me Go (with MKLA),Alok,electro house,124,91,74,-3,14,15,149,1,5,46
306,Kinetic,League of Legends,speedrun,128,92,59,-5,48,28,235,0,3,46
307,Downhearted - Ryos Remix,Pegboard Nerds,brostep,128,89,63,-4,30,22,287,0,5,25
308,A Race Against Time,PYLOT,chillsynth,110,83,60,-7,9,19,246,0,4,48
309,Locke,PYLOT,chillsynth,80,62,46,-8,15,8,326,0,4,46
310,Shadowtask,PYLOT,chillsynth,147,89,48,-5,29,41,201,0,5,46
311,The Place I Once Knew,PYLOT,chillsynth,110,94,49,-8,13,25,304,72,4,24
312,Midsummer Madness,88rising,asian american hip hop,90,68,41,-8,17,17,281,36,9,73
313,GIANTS,True Damage,k-rap,155,68,64,-5,16,58,192,8,26,70
314,Cry for the Truth,MICHI,okinawan pop,173,97,46,-2,36,69,235,3,11,32
315,Señorita,Shawn Mendes,canadian pop,117,54,76,-6,9,75,191,4,3,84
316,i'm so tired...,Lauv,dance pop,102,74,58,-8,24,48,163,18,22,80
317,Midsummer Madness,88rising,asian american hip hop,90,68,41,-8,17,17,281,36,9,73
318,Take Over,League of Legends,speedrun,108,73,45,-4,12,39,214,18,17,68
319,Tired,Alan Walker,electro house,124,88,69,-4,15,49,192,4,6,67
